,Disease,combined_symptoms
533,Eye floaters,small shape your vision that appear dark speck knobby transparent string float materialspots that move when you move your eye when you try look them they move quickly out your line visionspots that be most noticeable when you look plain bright background such blue sky white wallsmall shape string that eventually settle down and drift out the line visionsymptoms eye floater may include
535,Eyestrain,sore tire burning itch eyeswatery dry eyesblurred double visionheadachesore neck shoulder backincreased sensitivity light call photophobiadifficulty concentratingfeeling that you can not keep your eye openeyestrain symptom include
537,Factitious disorder,extensive knowledge medical term and diseasesvague inconsistent symptomsconditions that get bad for apparent reasonconditions that don respond expect standard therapiesseeking treatment from many different doctor hospital which may include use fake namereluctance allow doctor talk family friend other health care professionalsfrequent stay the hospitaleagerness have frequent test risky operationsmany surgical scar evidence numerous procedureshaving few visitor when hospitalizedarguing with doctor and stafffactitious disorder symptom involve mimic produce illness injury exaggerate symptom impairment deceive others people with the disorder go great length hide their deception may difficult realize that their symptom be actually part serious mental health disorder they continue with the deception even without receive any visible benefit reward when face with objective evidence that doesn support their claim
538,Factor V Leiden,painswellingrednesswarmththe factor v leiden mutation do not itself cause any symptom since factor v leiden risk for develop blood clot the leg lung the first indication that you have the disorder may the development abnormal blood clot
539,Flatfeet,obesityinjury the foot anklerheumatoid arthritisagingdiabetesmost people have symptom associate with flatfoot but some people with flatfoot experience foot pain particularly the heel arch area pain may worsen with activity swell may occur along the inside the ankle
540,Tetralogy of Fallot,bluish coloration the skin cause low blood oxygen level cyanosis shortness breath and rapid breathing especially during feed exercisepoor weight gaintiring easily during play exerciseirritabilityprolonged cryingheart murmurfaintingan abnormal round shape the nail bed the finger and toe club tetralogy fallot symptom vary depend the amount blood flow that block sign and symptom may include
541,Familial adenomatous polyposis,duodenal polyp these polyp grow the upper part your small intestine and may become cancerous but with careful monitoring duodenal polyp can often detect and remove before cancer develops periampullary polyp these polyp occur where the bile and pancreas duct enter the duodenum ampulla periampullary polyp might become cancerous but can often detect and remove before cancer develops gastric fundic polyp these polyp grow the line your stomach desmoids these noncancerous mass can arise anywhere the body but often develop the stomach area abdomen desmoids can cause serious problem they grow into nerve blood vessel exert pressure other organ your body other cancer rarely fap can cause cancer develop your thyroid gland central nervous system adrenal gland liver other organ noncancerous benign skin tumor benign bone growth osteoma congenital hypertrophy the retinal pigment epithelium chrpe these be benign pigment change the retina your eye dental abnormality these include extra teeth teeth that don come low number red blood cell anemia the main sign fap hundred even thousand polyp grow your colon and rectum usually start your mid teen the polyp be nearly percent certain develop into colon cancer rectal cancer the time you your
543,Farsightedness,nearby object may appear blurryyou need squint see clearlyyou have eyestrain include burning eye and ache around the eyesyou have general eye discomfort headache after do close task such reading write computer work draw for timefarsightedness may mean
545,Female sexual dysfunction,low sexual desire this most common female sexual dysfunction involves lack sexual interest and willingness sexual sexual arousal disorder your desire for sex might intact but you have difficulty with arousal be unable become arouse maintain arousal during sexual activity orgasmic disorder you have persistent recurrent difficulty achieve orgasm after sufficient sexual arousal and ongoing stimulation sexual pain disorder you have pain associate with sexual stimulation vaginal contact symptom vary depend what type sexual dysfunction you experience
546,Fetal alcohol syndrome,distinctive facial feature include small eye exceptionally thin upper lip short upturned nose and smooth skin surface between the nose and upper lipdeformities joint limb and fingersslow physical growth before and after birthvision difficulty hearing problemssmall head circumference and brain sizeheart defect and problem with kidney and bonesthe severity fetal alcohol syndrome symptom varies with some child experience them far great degree than others sign and symptom fetal alcohol syndrome may include any mix physical defect intellectual cognitive disability and problem function and cop with daily life
549,Fibroadenoma,round with distinct smooth borderseasily movedfirm rubberya fibroadenoma solid breast lump that often cause pain
550,Fibrocystic breasts,breast lump area thicken that tend blend into the surround breast tissuegeneralized breast pain tenderness discomfort that involves the upper outer part the breastbreast nodule lumpy tissue change size with the menstrual cyclegreen dark brown nonbloody nipple discharge that tends leak without pressure squeezingbreast change that be similar both breastsmonthly increase breast pain lumpiness from midcycle ovulation just before your period and then get well once your period startssigns and symptom fibrocystic breast may include
551,Uterine fibroids,heavy menstrual bleedingmenstrual period last more than weekpelvic pressure painfrequent urinationdifficulty empty the bladderconstipationbackache leg painsmany woman who have fibroid don have any symptom those that symptom can influence the location size and number fibroid
552,Fibromuscular dysplasia,high blood pressure problem with how the kidney work symptom fibromuscular dysplasia depend which artery artery be affected some people don have any symptom
554,Interstitial lung disease,shortness breath rest aggravate exertiondry coughthe primary sign and symptom interstitial lung disease be
555,Pulmonary fibrosis,shortness breath dyspnea dry coughfatigueunexplained weight lossaching muscle and jointswidening and round the tip the finger toe club sign and symptom pulmonary fibrosis may include
560,Floor of the mouth cancer,mouth painsores your mouth that won healloose teethpain when you swallowweight lossear painswelling your neck that may hurtwhite patch your mouth that won go awaysigns and symptom floor the mouth cancer can include
561,Influenza (flu),feveraching muscleschills and sweatsheadachedry persistent coughshortness breathtiredness and weaknessrunny stuffy nosesore throateye painvomiting and diarrhea but this more common child than adultsat first the flu may seem like common cold with runny nose sneeze and sore throat cold usually develop slowly but the flu tends come suddenly and while cold can miserable you usually feel much bad with the flu
562,H1N1 flu (swine flu),fever but not always ache muscle chill and sweat cough sore throat runny stuffy nose watery red eye eye pain body ache headache tiredness and weakness diarrhea feel sick the stomach vomit but this more common child than adult the symptom flu cause h n commonly call the swine flu be similar those other flu virus
564,Food poisoning,upset stomach vomit diarrhea diarrhea with bloody stool stomach pain and cramp fever headache symptom vary depend what cause the illness they may begin within few hour few week depend the cause
569,Growth plate fractures,pain and tenderness particularly response pressure the growth plateinability move the affected area put weight pressure the limbwarmth and swell the end bone near jointmost growth plate fracture occur bone the finger forearm and low leg sign and symptom growth plate fracture may include
576,Frostbite,first cold skin and prickle feelingnumbnessskin that look red white bluish white grayish yellow purplish brown ashen depend the severity the condition and usual skin colorhard waxy look skinclumsiness due joint and muscle stiffnessblistering after rewarming severe casesskin without cold damage have change color texture frostnip mild frostbite that irritates the skin cause change skin color and cold feel follow numbness frostnip doesn permanently damage the skin and can treat with first aid measure with superficial frostbite the skin feel warm fluid fill blister may appear hour after rewarming the skin with deep frostbite you may experience numbness joint muscle may stop work large blister form hour after rewarming the tissue turn black and hard dy
578,Fuchs' dystrophy,blur cloudy vision sometimes described general lack clarity vision fluctuation vision with bad symptom the morning after awaken and gradually improve during the day the disease progress blur vision either can take longer improve doesn improve glare which can decrease your vision dim and bright light see halo around light pain grittiness from tiny blister the surface your cornea the disease progress fuchs dystrophy symptom which usually affect both eye might include
579,Nail fungus,thickeneddiscoloredbrittle crumbly raggedmisshapenseparated from the nail bedsmellysymptoms nail fungus include nail nail that be
580,Pectus excavatum,decrease exercise tolerancerapid heartbeat heart palpitationsrecurrent respiratory infectionswheezing coughingchest painheart murmurfatiguedizzinessfor many people with pectus excavatum the only sign symptom slight indentation their chest some people the depth the indentation worsens early adolescence and can continue worsen into adulthood
582,Galactorrhea,persistent intermittent milky nipple dischargenipple discharge involve multiple milk ductsspontaneously leak manually express nipple dischargeone both breast affectedabsent irregular menstrual periodsheadaches vision problemssigns and symptom associate with galactorrhea include
588,Gastritis,gnawing burning ache pain indigestion your upper abdomen that may become either bad well with eatingnauseavomitinga feel fullness your upper abdomen after eatingthe sign and symptom gastritis include
591,Gastrointestinal bleeding,vomit blood which might red might dark brown and resemble coffee ground textureblack tarry stoolrectal bleeding usually with stoolsigns and symptom gi bleeding can either obvious overt hidden occult sign and symptom depend the location the bleed which can anywhere the gi tract from where start the mouth where end the anus and the rate bleeding
593,Gaucher disease,abdominal complaint because the liver and especially the spleen can enlarge dramatically the abdomen can become painfully distend skeletal abnormality gaucher disease can weaken bone increase the risk painful fracture can also interfere with the blood supply your bone which can cause portion the bone die blood disorder decrease healthy red blood cell anemia can result severe fatigue gaucher disease also affect the cell responsible for clot which can cause easy bruising and nosebleed there be different type gaucher disease and sign and symptom disease vary widely even within the same type type far the most common
594,Gender dysphoria,difference between gender identity and genitals secondary sex characteristic such breast size voice and facial hair young adolescent difference between gender identity and anticipate secondary sex characteristic strong desire rid these genitals secondary sex characteristic desire prevent the development secondary sex characteristic strong desire have the genitals and secondary sex characteristic another gender strong desire treat another gender strong belief have the typical feeling and reaction another gender gender dysphoria might cause adolescent and adult experience marked difference between inner gender identity and assign gender that last for least six month the difference show least two the follow
597,Genital herpes,pain itch around the genitalssmall bump blister around the genitals anus mouthpainful ulcer that form when blister rupture and ooze bleedscabs that form the ulcer healpainful urinationdischarge from the urethra the tube that release urine from the bodydischarge from the vaginasores associate with genital herpes can small bump blister open sore scab eventually form and the sore heal but they tend recur
602,Gingivitis,swollen puffy gumsdusky red dark red gumsgums that bleed easily when you brush flossbad breathreceding gumstender gumsgingivitis can cause dusky red swollen tender gum that bleed easily especially when you brush your teeth
603,Glaucoma,symptom early stagesgradually patchy blind spot your side vision side vision also know peripheral visionin later stage difficulty see thing your central visionthe symptom glaucoma depend the type and stage your condition
604,Glioma,headache particularly one that hurt the most the morning nausea and vomit confusion decline brain function such problem with think and understand information memory loss personality change irritability vision problem such blur vision double vision loss peripheral vision speech difficulty seizure especially someone who hasn have seizure before glioma symptom depend the location the glioma symptom also may depend the type glioma it size and how quickly grow
605,Glomerulonephritis,pink cola color urine from red blood cell your urine hematuria foamy bubbly urine due excess protein the urine proteinuria high blood pressure hypertension fluid retention edema with swell evident your face hand foot and abdomenurinating less than usualnausea and vomitingmuscle crampsfatiguesigns and symptom glomerulonephritis may vary depend whether you have the acute chronic form and the cause you may notice symptom chronic disease your first indication that something wrong might come from the result routine urine test urinalysis
609,Golfer's elbow,pain and tenderness usually felt the inner side your elbow the pain sometimes extends along the inner side your forearm pain typically worsens with certain movement stiffness your elbow may feel stiff and make fist might hurt weakness you may have weakness your hand and wrist numbness tingle these sensation might radiate into one more finger usually the ring and little finger the pain golfer elbow occurs primarily where the tendon the forearm muscle attach the bony bump the inside the elbow medial epicondyle contrast the pain tennis elbow usually occurs the bony bump the outside the elbow lateral epicondyle
610,Gonorrhea,painful urinationpus like discharge from the tip the penispain swell one testiclethe male reproductive system make store and move sperm testicle produce sperm fluid from the seminal vesicle and prostate gland combine with sperm make semen the penis ejaculate semen during sexual intercourse
612,Granuloma annulare,localize this the most common type granuloma annulare the rash border be circular semicircular with diameter inch centimeter the rash occurs most commonly the hand foot wrist and ankle young adult generalize this type uncommon and usually affect adult cause bump that form rash most the body include the trunk arm and leg the rash might cause discomfort itchiness under the skin type that usually affect young child call subcutaneous granuloma annulare produce small firm lump under the skin instead rash the lump form the hand shin and scalp the sign and symptom granuloma annulare can vary depend the type
613,Granulomatosis with polyangiitis,pu like drainage with crust from your nose stuffiness sinus infection and nosebleedscoughing sometimes with bloody phlegmshortness breath wheezingfeverfatiguejoint painnumbness your limb finger toesweight lossblood your urineskin sore bruising rasheseye redness burning pain and vision problemsear inflammation and hearing problemssigns and symptom granulomatosis with polyangiitis can develop suddenly over several month the first warn sign usually involve your sinus throat lung the condition often worsens rapidly affect blood vessel and the organ they supply such the kidney
614,Graves' disease,anxiety and irritabilitya fine tremor the hand fingersheat sensitivity and increase perspiration warm moist skinweight loss despite normal eat habitsenlargement the thyroid gland goiter change menstrual cycleserectile dysfunction reduce libidofrequent bowel movementsbulging eye graf ophthalmopathy fatiguethick red skin usually the shin top the foot graf dermopathy rapid irregular heartbeat palpitation sleep disturbancewidespread enlargement the thyroid can expand the gland well beyond it typical size left and cause noticeable bulge the neck right
621,Periodontitis,swollen puffy gum bright red dark red dark purple gum gum that feel tender when touch gum that bleed easily toothbrush that look pink after brushing your teeth spit out blood when brushing floss your teeth bad breath that won go away pu between your teeth and gum loose teeth loss teeth painful chew new space that develop between your teeth that look like black triangle gum that pull away from your teeth make your teeth look longer than usual call recede gum change the way your teeth fit together when you bite healthy gum be firm and fit snugly around teeth the color healthy gum can vary they may range from light pink some people dark pink and brown others
627,Trichotillomania (hair-pulling disorder),repeatedly pull your hair out typically from your scalp eyebrow eyelash but sometimes from other body area and site may vary over timean increase sense tension before pull when you try resist pullinga sense pleasure relief after the hair pullednoticeable hair loss such shorten hair thin bald area the scalp other area your body include sparse miss eyelash eyebrowspreference for specific type hair ritual that accompany hair pull pattern hair pullingbiting chew eat pull out hairplaying with pull out hair rub across your lip facerepeatedly try stop pull out your hair try less often without successsignificant distress problem work school social situation related pull out your hairsigns and symptom trichotillomania often include
631,Hammertoe and mallet toe,pain from wear shoe difficulty move the affected toe toe stiffness redness and swell growth corn and callus from rub against shoe against the ground hammertoe and mallet toe have unusual bend the joint one more the toe other symptom include
632,Hamstring injury,sport sport that require sprint run might make hamstring injury more likely might other activity that can require extreme stretch such dance earlier hamstring injury people who have have one hamstring injury be more likely have another one this especially true for people who try go back the same activity before the muscle have time heal tire muscle weak muscle and muscle that don stretch well tire weak muscle be more likely injured muscle with poor flexibility might not able bear the force the action that certain activity require muscle imbalance although not all expert agree some suggest that muscle imbalance may lead hamstring injury the quadricep muscle along the front the thigh be strong and more developed than the hamstring muscle injury the hamstring muscle might more likely age risk injury increase with age hamstring injury typically cause sudden sharp pain the back the thigh there might also pop tear sensation
634,Hepatitis A,unusual tiredness and weaknesssudden nausea and vomit and diarrheaabdominal pain discomfort especially the upper right side beneath your low rib which over your liverclay gray color stoolloss appetitelow grade feverdark urinejoint painyellowing the skin and the white your eye jaundice intense itchinghepatitis symptom typically appear few week after you have the virus but not everyone with hepatitis develops symptom you symptom can include
636,Hepatitis B,abdominal paindark urinefeverjoint painloss appetitenausea and vomitingweakness and fatigueyellowing the skin and the white the eye also call jaundicesymptoms acute hepatitis b range from mild severe they usually appear about month after you be infect although you could see them early two week after you infect some people usually young child may not have any symptom
637,Hepatitis C,bleeding easilybruising easilyfatiguepoor appetiteyellow discoloration the skin and eye jaundice dark color urineitchy skinfluid buildup your abdomen ascites swell your legsweight lossconfusion drowsiness and slur speech hepatic encephalopathy spiderlike blood vessel your skin spider angioma long term infection with the hepatitis c virus know chronic hepatitis c chronic hepatitis c usually silent infection for many year until the virus damage the liver enough cause the sign and symptom liver disease
641,Migraine,constipation mood change from depression euphoria food craving neck stiffness increase urination fluid retention frequent yawn migraine which affect child and teenager well adult can progress through four stage prodrome aura attack and post drome not everyone who have migraine go through all stage
642,Spinal headaches,dull throb pain that varies intensity from mild very severepain that typically get bad when you sit stand and decrease go away when you lie downspinal headache symptom include
643,Tension headache,dull ache head painsensation tightness pressure across the forehead the side and back the headtenderness the scalp neck and shoulder musclessigns and symptom tension type headache include
644,Thunderclap headaches,strike suddenly and severelypeaks within secondscan accompany nausea vomitingthunderclap headache be dramatic symptom include pain that
645,Illness anxiety disorder,be preoccupy with have get serious disease health conditionworrying that minor symptom body sensation mean you have serious illnessbeing easily alarmed about your health statusfinding little reassurance from doctor visit negative test resultsworrying excessively about specific medical condition your risk develop medical condition because run your familyhaving much distress about possible illness that hard for you functionrepeatedly check your body for sign illness diseasefrequently make medical appointment for reassurance avoid medical care for fear be diagnose with serious illnessavoiding people place activity for fear health risksconstantly talk about your health and possible illnessesfrequently search the internet for cause symptom possible illnessessymptoms illness anxiety disorder involve preoccupation with the idea that you seriously ill base normal body sensation such noisy stomach minor sign such minor rash sign and symptom may include
646,Hearing loss,muffle speech and other sound trouble understand word especially when crowd noisy place trouble hearing the letter the alphabet that aren vowel often ask others speak more slowly clearly and loudly need turn the volume the television radio stay clear some social setting be bother background noise ring the ear know tinnitus symptom hearing loss may include
651,Heart valve disease,whoosh sound heart murmur when doctor listen the heart with stethoscopechest painabdominal swell more common with advanced tricuspid regurgitation fatigueshortness breath particularly when active lie downswelling your ankle and feetdizzinessfaintingirregular heartbeatsome people with heart valve disease might not have symptom for many year when sign and symptom occur they might include
652,Heat exhaustion,cool moist skin with goose bump when the heat heavy sweat faintness dizziness fatigue weak rapid pulse low blood pressure upon stand muscle cramp nausea headache symptom heat exhaustion may start suddenly progress over time especially with prolong period exercise possible heat exhaustion symptom include
653,Heatstroke,high body temperature core body temperature f c high obtain with rectal thermometer the main sign heatstroke alter mental state behavior confusion agitation slur speech irritability delirium seizure and coma can all result from heatstroke alteration sweat heatstroke brought hot weather your skin will feel hot and dry the touch however heatstroke brought strenuous exercise your skin may feel dry slightly moist nausea and vomit you may feel sick your stomach vomit flush skin your skin may turn red your body temperature increase rapid breathing your breathing may become rapid and shallow race heart rate your pulse may significantly increase because heat stress place tremendous burden your heart help cool your body headache your head may throb heatstroke sign and symptom include
655,Plantar fasciitis,age plantar fasciitis most common people between the age and certain type exercise activity that place lot stress your heel and attach tissue such long distance run ballet dance and aerobic dance can contribute the onset plantar fasciitis foot mechanic flat foot high arch even atypical pattern walk can affect the way weight distribute when you stand and can put add stress the plantar fascia obesity excess pound put extra stress your plantar fascia occupation that keep you your foot factory worker teacher and others who spend most their work hour walk stand hard surface can increase risk plantar fasciitis plantar fasciitis typically cause stab pain the bottom your foot near the heel the pain usually the bad with the first few step after awaken although can also trigger long period stand when you get from sit
656,Hemangioma,hemangiomainfantile hemangioma also know strawberry birthmarksa hemangioma may visible birth but appear more often during the first month life start flat red mark the body most often the face scalp chest back child generally only have one mark but some child may have more than one mark
657,Intracranial hematoma,headache that get worsevomitingdrowsiness and progressive loss consciousnessdizzinessconfusionunequal pupil sizeslurred speechloss movement paralysis the opposite side the body from the head injuryyou might develop sign and symptom intracranial hematoma right after head injury they may take week longer appear you might seem fine after head injury this period call the lucid interval
659,Hemifacial spasm,one side the face not controllable painless common symptom hemifacial spasm include jerking muscle the face that be most often
660,Hemochromatosis,joint pain abdominal pain fatigue weakness diabetes loss sex drive impotence heart failure liver failure bronze gray skin color memory fog some people with hemochromatosis never have symptom early symptom often overlap with those other common condition
661,Hemolytic uremic syndrome (HUS),diarrhea which often bloodyabdominal pain cramp bloatingvomitingfeverthe sign and symptom hus may vary depend the cause most case hus be cause infection with certain strain e coli bacteria which first affect the digestive tract the initial sign and symptom this form hus may include
662,Hemophilia,unexplained and excessive bleeding from cut injury after surgery dental workmany large deep bruisesunusual bleeding after vaccinationspain swell tightness your jointsblood your urine stoolnosebleeds without know causein infant unexplained irritabilitysigns and symptom hemophilia vary depend your level clot factor your clot factor level mildly reduce you might bleed only after surgery trauma your deficiency severe you can bleed easily for seemingly reason
663,Hemorrhoids,itch irritation your anal regionpain discomfortswelling around your anusbleedingsigns and symptom hemorrhoid usually depend the type hemorrhoid
674,Toxic hepatitis,yellow the skin and white the eye jaundice itchingabdominal pain the upper right portion the abdomenfatigueloss appetitenausea and vomitingrashfeverweight lossdark tea color urinemild form toxic hepatitis may not cause any symptom and may detect only blood test when sign and symptom toxic hepatitis occur they may include
675,Hepatopulmonary syndrome,shortness breath especially when sit standingclubbing the finger which the fingertip spread out and become rounder than normalbroken blood vessel under the skin spider angioma bluish tinge the lip and skin cyanosis most people with hepatopulmonary syndrome have symptom symptom occur they may include
677,Hereditary hemorrhagic telangiectasia,nosebleed sometimes daily basis and often start childhoodlacy red vessel tiny red spot particularly the lip face fingertip tongue and inside surface the mouthiron deficiency anemiashortness breathheadachesseizuressigns and symptom hht include
678,Lynch syndrome,colon cancer before age cancer the inside line the uterus endometrial cancer before age personal history more than one type cancera family history cancer before age family history other cancer cause lynch syndrome include stomach cancer ovarian cancer pancreatic cancer kidney cancer bladder cancer ureteral cancer brain cancer small intestine cancer gallbladder cancer bile duct cancer and skin cancerpeople with lynch syndrome may experience
679,Hiatal hernia,heartburnregurgitation food liquid into the mouthbackflow stomach acid into the esophagus acid reflux difficulty swallowingchest abdominal painfeeling full soon after you eatshortness breathvomiting blood passing black stool which may indicate gastrointestinal bleedingmost small hiatal hernia cause sign symptom but large hiatal hernia can cause
680,Herniated disk,arm leg pain your herniated disk your low back besides pain your low back you typically feel pain your buttock thigh and calf you might have pain part the foot well for herniated disk your neck you typically feel the most pain your shoulder and arm this pain might shoot into your arm leg when you cough sneeze move into certain position pain often described sharp burning numbness tingle people who have herniated disk often have radiate numbness tingle the body part serve the affected nerve weakness muscle serve the affected nerve tend weaken this can cause you stumble affect your ability lift hold item most herniated disk occur the low back but they can also occur the neck sign and symptom depend where the disk situate and whether the disk press nerve herniated disk usually affect one side the body
683,Hiccups,drinking carbonate beverage drinking too much alcohol eat too much be excite under emotional stress experience sudden temperature change swallow air such when chew gum smoking symptom include uncontrolled spasm your diaphragm and hic sound sometimes you may feel slight tighten sensation your chest stomach area throat
685,High cholesterol,arcus senilis sign high cholesterol high cholesterol have symptom blood test the only way detect you have
694,Kyphosis,fracture broken vertebra can result curvature the spine compression fracture which can occur weaken bone be the most common mild compression fracture often don produce noticeable sign symptom osteoporosis weak bone can cause spinal curvature especially weaken vertebra develop compression fracture osteoporosis most common old woman and people who have take corticosteroid for long period time disk degeneration soft circular disk act cushion between spinal vertebra with age these disk flatten and shrink which often worsens kyphosis scheuermann disease also call scheuermann kyphosis this disease typically begin during the growth spurt that occurs before puberty other problem spinal bone that don develop properly before birth can cause kyphosis kyphosis child can also associate with certain medical condition such ehlers danlos syndrome mild kyphosis may produce noticeable sign symptom fact the upper back naturally have little kyphosis people who have excessive curvature may experience back pain and stiffness
696,Progeria,slow growth and poor weight gain with below average height and weight lack fat that store just beneath the skin head that large compare with the face small jaw chin and mouth and thin lip thin curve nose with slight hook the end which may look like bird beak large eye and eyelid that don close completely hair loss include eyelash and eyebrow thin spotty and wrinkle skin vein easily see through the skin high pitch voice premature age usually within the first year life you notice that your child growth have slow but motor development and intelligence be not affected
697,Hydrocele,injury inflammation within the scrotum infection include sexually transmit infection often the only sign hydrocele painless swell one both testicle
698,Hydrocephalus,unusually large heada rapid increase the size the heada bulge tense soft spot fontanel the top the headthe sign and symptom hydrocephalus vary somewhat age onset
699,Hypercalcemia,kidney excess calcium make your kidney work harder filter this can cause excessive thirst and frequent urination digestive system hypercalcemia can cause stomach upset nausea vomit and constipation bone and muscle most case the excess calcium your blood be leach from your bone which weakens them this can cause bone pain and muscle weakness brain hypercalcemia can interfere with how your brain work result confusion lethargy and fatigue can also cause depression heart rarely severe hypercalcemia can interfere with your heart function cause palpitation and fainting indication cardiac arrhythmia and other heart problem you might not have sign symptom your hypercalcemia mild more severe case produce sign and symptom related the part your body affected the high calcium level your blood example include
702,Hypereosinophilic syndrome,book mayo clinic family health book th editionnewsletter mayo clinic health letter digital editionearly symptom he may include fatigue cough breathlessness muscle pain rash and fever
706,Hyperoxaluria and oxalosis,sharp pain the back side low stomach area groin urine that look pink red brown due blood frequent urge pee also call urination pain when pee not be able urinate pee only small amount chill fever upset stomach vomit often the first sign hyperoxaluria kidney stone kidney stone symptom can include
708,Pulmonary hypertension,shortness breath first while exercise and eventually while rest blue gray skin color due low oxygen level depend your skin color these change may harder easy see chest pressure pain dizziness fainting spell fast pulse pound heartbeat fatigue swell the ankle leg and belly area the symptom pulmonary hypertension develop slowly you may not notice them for month even year symptom get bad the disease progress
709,Hyperthyroidism (overactive thyroid),lose weight without try fast heartbeat condition call tachycardia irregular heartbeat also call arrhythmia pound the heart sometimes call heart palpitation increase hunger nervousness anxiety and irritability tremor usually small tremble the hand and finger sweat change menstrual cycle increase sensitivity heat change bowel pattern especially more frequent bowel movement enlarge thyroid gland sometimes call goiter which may appear swell the base the neck tiredness muscle weakness sleep problem warm moist skin thin skin fine brittle hair hyperthyroidism sometimes look like other health problem that can make hard diagnose can cause many symptom include
711,Low sex drive in women,have interest any type sexual activity include masturbationnever only seldom have sexual fantasy thoughtsbeing concerned your lack sexual activity fantasiesif you want have sex less often than your partner do neither one you necessarily outside the norm for people your stage life although your difference may cause distress
713,Hypoglycemia,look paleshakinesssweatingheadachehunger nauseaan irregular fast heartbeatfatigueirritability anxietydifficulty concentratingdizziness lightheadednesstingling numbness the lip tongue cheekif blood sugar level become too low hypoglycemia sign and symptom can include
714,Hyponatremia,nausea and vomitingheadacheconfusionloss energy drowsiness and fatiguerestlessness and irritabilitymuscle weakness spasm crampsseizurescomahyponatremia sign and symptom may include
715,Hypopituitarism,fatigue muscle weakness change body fat loss interest activity lack social contact the symptom hypopituitarism usually start slowly and get bad over time they might not notice for month even year but for some people symptom start suddenly
716,Hypospadias,opening the urethra location other than the tip the penisdownward curve the penis chordee hood appearance the penis because only the top half the penis cover foreskinabnormal spray during urinationin hypospadias the opening the urethra locate the underside the penis instead the tip most case the opening the urethra within the head the penis less often the opening the middle the base the penis rarely the opening beneath the scrotum
717,Low blood pressure (hypotension),blur fading visiondizziness lightheadednessfaintingfatiguetrouble concentratingnausealow blood pressure hypotension symptom may include
719,Hypothyroidism (underactive thyroid),tiredness more sensitivity cold constipation dry skin weight gain puffy face hoarse voice coarse hair and skin muscle weakness muscle ache tenderness and stiffness menstrual cycle that be heavier than usual irregular thin hair slow heart rate also call bradycardia depression memory problem the thyroid gland locate the base the neck just below the adam apple
720,Inflammatory bowel disease (IBD),diarrheafatigueabdominal pain and crampingblood your stoolreduced appetiteunintended weight lossinflammatory bowel disease symptom vary depend the severity inflammation and where occurs symptom may range from mild severe you be likely have period active illness follow period remission
721,Irritable bowel syndrome,abdominal pain cramp bloating that related passing bowel movementchanges appearance bowel movementchanges how often you be have bowel movementsymptoms ibs vary but be usually present for long time the most common include
723,Immune thrombocytopenia (ITP),easy bruising bleeding into the skin that look like tiny reddish purple spot also know petechia the spot mostly show the low leg they look like rash bleeding into the skin that large than petechia also know purpura bleeding from the gum nose blood urine stool really heavy menstrual flow bleeding into the skin look like tiny reddish purple spot also know petechia petechia might look like rash here they appear leg and the stomach area b
728,Impacted wisdom teeth,red swollen gumstender bleeding gumsjaw painswelling around the jawbad breathan unpleasant taste your mouthdifficulty opening your mouthimpacted wisdom teeth don always cause symptom however when impact wisdom tooth becomes infect damage other teeth cause other dental problem you may experience some these sign symptom
729,Prediabetes,increase thirstfrequent urinationincreased hungerfatigueblurred visionnumbness tingle the foot handsfrequent infectionsslow heal soresunintended weight lossprediabetes doesn usually have any sign symptom
731,Incompetent cervix,feel pelvic pressure new backache mild stomach cramp change vaginal discharge light vaginal bleeding with incompetent cervix there may sign symptom during early pregnancy some woman have mild discomfort spot before the diagnosis often this occurs before week pregnancy
739,Infertility,be age old and have be try conceive for six month longerare over age have irregular absent periodshave very painful periodshave know fertility problemshave be diagnose with endometriosis pelvic inflammatory diseasehave have multiple miscarriageshave undergone treatment for cancerthe main symptom infertility not get pregnant there may other obvious symptom sometimes woman with infertility may have irregular absent menstrual period some case men with infertility may have some sign hormonal problem such change hair growth sexual function
740,Male infertility,problem with sexual function for example difficulty with ejaculation small volume fluid ejaculate reduce sexual desire difficulty maintain erection erectile dysfunction pain swell lump the testicle arearecurrent respiratory infectionsinability smellabnormal breast growth gynecomastia decrease facial body hair other sign chromosomal hormonal abnormalitya low than normal sperm count few than million sperm per milliliter semen total sperm count less than million per ejaculate the main sign male infertility the inability conceive child there may other obvious sign symptom
744,Pancreatitis,upper abdominal painabdominal pain that radiates your backtenderness when touch the abdomenfeverrapid pulsenauseavomitingsigns and symptom pancreatitis may vary depend which type you experience
745,Pericarditis,spread the left shoulder and neckget bad when cough lie down take deep breathget well when sit lean forwardchest pain the most common symptom pericarditis usually feel sharp stab however some people have dull achy pressure like chest pain
749,Ingrown hair,tiny swollen bump where you shave tweeze waxsmall bump that look like blister be fill with pussmall bump that be darker than surround skin hyperpigmentation burning stingingitchinghair the shape loop because the tip the hair curve and grows into the skinsigns and symptom ingrown hair include
750,Insomnia,difficulty fall asleep nightwaking during the nightwaking too earlynot feel well rest after night sleepdaytime tiredness sleepinessirritability depression anxietydifficulty pay attention focus task rememberingincreased error accidentsongoing worry about sleepinsomnia symptom may include
751,Intermittent explosive disorder,rageirritabilityincreased energyracing thoughtstinglingtremorspalpitationschest tightnessexplosive eruption occur suddenly with little warn and usually last less than minute these episode may occur frequently separate week month nonaggression less severe verbal outburst may occur between episode physical aggression you may irritable impulsive aggressive chronically angry most the time
