Disease,Description
Fibrocystic breasts,"Fibrocystic breast changes lead to the development of fluid-filled round or oval sacs, called cysts. The cysts can make breasts feel tender, lumpy or ropy. They feel distinct from other breast tissue."
Uterine fibroids,"Learn more about uterine fibroids from Michelle Louie, M.D., a minimally invasive gynecologic surgeon at Mayo Clinic."
Fibromuscular dysplasia,"In fibromuscular dysplasia, the muscle and fiber tissues in the arteries thicken, causing the arteries to narrow. This is called stenosis. Narrowed arteries can reduce blood flow to the organs, causing organ damage. The artery to the kidney is called the renal artery. Fibromuscular dysplasia of the renal artery is shown here, with a ""string of beads"" appearance."
Interstitial lung disease,"Interstitial (in-tur-STISH-ul) lung disease describes a large group of disorders, most of which cause progressive scarring of lung tissue. The scarring associated with interstitial lung disease eventually affects your ability to breathe and get enough oxygen into your bloodstream."
Pulmonary fibrosis,"Pulmonary fibrosis scars and thickens the tissue around and between the air sacs (alveoli) in your lungs, as shown on the right. A normal lung with normal alveoli is shown on the left."
Floor of the mouth cancer,Floor of the mouth cancer is cancer that begins on the tissue underneath your tongue.
Influenza (flu),"Flu (influenza) is an infection of the nose, throat and lungs, which are part of the respiratory system. Influenza is commonly called the flu, but it's not the same as stomach ""flu"" viruses that cause diarrhea and vomiting."
H1N1 flu (swine flu),"The H1N1 flu, sometimes called swine flu, is a type of influenza A virus."
Focal segmental glomerulosclerosis (FSGS),"Focal segmental glomerulosclerosis (FSGS) results from scar tissue that develops in the glomeruli. Glomeruli are tiny structures within the kidney that filter waste products from the blood to create urine. A healthy glomerulus is shown on the left. When scar tissue develops in a glomerulus, kidney function gets worse (shown right)."
Food poisoning,"Food poisoning, a type of foodborne illness, is a sickness people get from something they ate or drank. The causes are germs or other harmful things in the food or beverage."
Growth plate fractures,"Growth plates are located near the ends of your child's bones. If a fracture goes through a growth plate, it can result in a shorter or crooked limb.
"
Frostbite,"Frostbite can cause cracked, dry, peeling skin as it heals."
Fuchs' dystrophy,"With Fuchs' dystrophy, the body of the cornea (stroma) begins to thicken, and the cornea becomes cloudy."
Nail fungus,"Nail fungus can cause the nail to become thick, ragged and discolored. An infected nail may separate from the nail bed."
Pectus excavatum,Pectus excavatum is a condition in which a person's breastbone is sunken into his or her chest. Severe cases of pectus excavatum can eventually interfere with the function of the heart and lungs.
Galactorrhea,"Galactorrhea (guh-lack-toe-REE-uh) is a milky nipple discharge unrelated to the normal milk production of breast-feeding. Galactorrhea itself isn't a disease, but it could be a sign of an underlying problem. It usually occurs in women, even those who have never had children or after menopause. But galactorrhea can happen in men and even in infants."
Gastritis,"Your stomach is a muscular sac about the size of a small melon that expands when you eat or drink. It holds as much as a gallon (3.8 liters) of food or liquid. Once your stomach breaks down the food, strong muscular contractions known as peristaltic waves push the food toward the pyloric valve. This valve leads to the upper portion of your small intestine, a segment known as the duodenum."
Gastrointestinal bleeding,"Gastrointestinal (GI) bleeding is a symptom of a disorder in your digestive tract. The blood often appears in stool or vomit but isn't always visible, though it may cause the stool to look black or tarry. The level of bleeding can range from mild to severe and can be life-threatening."
Gastrointestinal stromal tumor (GIST),
Gaucher disease,"Gaucher (go-SHAY) disease is the result of a buildup of certain fatty substances in certain organs, particularly your spleen and liver. This causes these organs to enlarge and can affect their function."
Gender dysphoria,Gender dysphoria is the feeling of discomfort or distress that might occur in people whose gender identity differs from their sex assigned at birth or sex-related physical characteristics.
Genital herpes,Genital herpes is a common sexually transmitted infection (STI). The herpes simplex virus (HSV) causes genital herpes. Genital herpes can often be spread by skin-to-skin contact during sexual activity.
Germ cell tumors,Germ cell tumors are growths of cells that form from reproductive cells. The tumors may be cancerous or not cancerous. Most germ cell tumors occur in the testicles or the ovaries.
Gingivitis,"Gingivitis is a common and mild form of gum disease (periodontal disease) that causes irritation, redness and swelling (inflammation) of your gingiva, the part of your gum around the base of your teeth. It's important to take gingivitis seriously and treat it promptly. Gingivitis can lead to much more serious gum disease called periodontitis and tooth loss."
Glaucoma,"Usually, fluid (aqueous humor) in the eye flows freely through the anterior chamber and exits through the drainage system (trabecular meshwork). If that system is blocked or isn't functioning well, the pressure inside the eye (intraocular pressure) builds, which in turn damages the optic nerve. With the most common type of glaucoma, this results in gradual vision loss."
Glioblastoma,
Glioma,Gliomas begin in the gluey supportive (glial cells) that surround nerve cells in the brain.
Glomerulonephritis,"The kidneys remove waste and excess fluid from the blood through structures called nephrons. Each nephron contains a filter called a glomerulus that has a network of tiny blood vessels called capillaries. When blood flows into a glomerulus, tiny molecules — water, essential minerals and nutrients, and wastes — pass through the capillary walls. Large molecules, such as proteins and red blood cells, do not. The filtered solution then passes into another part of the nephron called the tubule. The water, nutrients and minerals that the body needs are transferred back to the bloodstream. The excess water and waste become urine that flows to the bladder."
Golfer's elbow,Golfer's elbow is a condition that causes pain where the tendons of your forearm muscles attach to the bony bump on the inside of your elbow. The pain might spread into your forearm and wrist.
Gonorrhea,"Gonorrhea is a sexually transmitted infection (STI), also known as a sexually transmitted disease (STD).  Gonorrhea is caused by a bacterium that infects both males and females. Gonorrhea most often affects the urethra, rectum or throat. In females, gonorrhea can also infect the cervix."
Granuloma annulare,"Granuloma annulare is a skin condition that causes a raised rash or bumps in a ring pattern, usually on the hands and feet."
Granulomatosis with polyangiitis,"Granulomatosis with polyangiitis is an uncommon disorder that causes inflammation of the blood vessels in your nose, sinuses, throat, lungs and kidneys."
Graves' disease,"The thyroid gland is located at the base of the neck, just below the Adam's apple."
Periodontitis,"Periodontitis is a severe gum infection that can lead to tooth loss, bone loss and other serious health complications."
Trichotillomania (hair-pulling disorder),"Trichotillomania (trik-o-til-o-MAY-nee-uh), also called hair-pulling disorder, is a mental disorder that involves recurrent, irresistible urges to pull out hair from your scalp, eyebrows or other areas of your body, despite trying to stop."
Hammertoe and mallet toe,A hammertoe is curled due to a bend in the middle joint of the toe.
Hamstring injury,A hamstring injury involves straining or pulling one of the hamstring muscles — the group of three muscles that run along the back of the thigh.
Hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause liver inflammation and affect your liver's ability to function.
Hepatitis B,"Hepatitis B is a serious liver infection caused by the hepatitis B virus (HBV). For most people, hepatitis B is short term, also called acute, and lasts less than six months. But for others, the infection becomes chronic, meaning it lasts more than six months. Having chronic hepatitis B increases your risk of developing liver failure, liver cancer or cirrhosis — a condition that permanently scars the liver."
Hepatitis C,"The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach."
Head and neck cancers,Head and neck cancers are a broad category of cancers that occur in the head and neck region.
Migraine,"Learning about migraine disorder can be intimidating. Amaal Starling, M.D., a neurologist at Mayo Clinic, walks you through the facts, the questions, and the answers to help you better understand this condition."
Spinal headaches,"Spinal headaches are a fairly common complication in those who undergo a spinal tap (lumbar puncture) or spinal anesthesia. Both procedures require a puncture of the membrane that surrounds the spinal cord and, in the lower spine, the lumbar and sacral nerve roots."
Tension headache,"A tension-type headache (TTH) is generally a mild to moderate pain that's often described as feeling like a tight band around the head. A tension-type headache is the most common type of headache, yet its causes aren't well understood."
Thunderclap headaches,"Thunderclap headaches live up to their name, striking suddenly like a clap of thunder. The pain of these severe headaches peaks within 60 seconds."
Illness anxiety disorder,"Illness anxiety disorder, sometimes called hypochondriasis or health anxiety, is worrying excessively that you are or may become seriously ill. You may have no physical symptoms. Or you may believe that normal body sensations or minor symptoms are signs of severe illness, even though a thorough medical exam doesn't reveal a serious medical condition."
Hearing loss,"Hearing loss that comes on little by little as you age, also known as presbycusis, is common. More than half the people in the United States older than age 75 have some age-related hearing loss."
Heart valve disease,"In heart valve disease, one or more of the valves in your heart doesn't work properly."
Heat exhaustion,"Heat exhaustion is a condition that happens when your body overheats. Symptoms may include heavy sweating and a rapid pulse. Heat exhaustion is one of three heat-related illnesses, with heat cramps being the mildest and heatstroke being the most serious."
Heatstroke,"Heatstroke is a condition caused by your body overheating, usually as a result of prolonged exposure to or physical exertion in high temperatures. This most serious form of heat injury, heatstroke, can occur if your body temperature rises to 104 F (40 C) or higher. The condition is most common in the summer months."
Plantar fasciitis,Plantar fasciitis is an inflammation of the fibrous tissue (plantar fascia) along the bottom of your foot that connects your heel bone to your toes. Plantar fasciitis can cause intense heel pain.
Hemangioma,An infantile hemangioma is a birthmark that is made up of a dense group of blood vessels. It often appears on the surface of the skin as a spongy mass.
Intracranial hematoma,"An intracranial hematoma is a collection of blood within the skull. It's usually caused by a blood vessel that bursts in the brain. It may also be caused by trauma such as a car accident or fall. The blood may collect in the brain tissue or underneath the skull, pressing on the brain."
Hemifacial spasm,Hemifacial spasm is a nervous system condition in which the muscles on one side of the face twitch. The cause of hemifacial spasm is most often a blood vessel touching or pulsing against a facial nerve. A facial nerve injury or a tumor also can cause it. Sometimes there is no known cause.
Hemochromatosis,"The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach."
Hemolytic uremic syndrome (HUS),"Hemolytic uremic syndrome (HUS) is a condition that can occur when the small blood vessels in your kidneys become damaged and inflamed. This damage can cause clots to form in the vessels. The clots clog the filtering system in the kidneys and lead to kidney failure, which could be life-threatening."
Hemophilia,"Hemophilia is a rare disorder in which the blood doesn't clot in the typical way because it doesn't have enough blood-clotting proteins (clotting factors). If you have hemophilia, you might bleed for a longer time after an injury than you would if your blood clotted properly."
Hemorrhoids,"Hemorrhoids are swollen veins in your lower rectum. Internal hemorrhoids are usually painless, but tend to bleed. External hemorrhoids may cause pain."
Toxic hepatitis,"The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach."
Hepatocellular carcinoma,
Hepatopulmonary syndrome,"Hepatopulmonary (hep-uh-toe-POOL-moe-nar-e) syndrome is an uncommon condition that affects the lungs of people with advanced liver disease. Hepatopulmonary syndrome is caused by blood vessels in the lungs expanding (dilating) and increasing in number, making it hard for red blood cells to properly absorb oxygen. This leaves the lungs unable to deliver adequate amounts of oxygen to the body, which leads to low oxygen levels (hypoxemia)."
Hereditary hemorrhagic telangiectasia,"Hereditary hemorrhagic telangiectasia (tuh-lan-jee-uk-TAY-zhuh) is an inherited disorder that causes abnormal connections, called arteriovenous malformations (AVMs), to develop between arteries and veins. The most common locations affected are the nose, lungs, brain and liver."
Lynch syndrome,Lynch syndrome is a condition that increases the risk of many kinds of cancer. This condition is passed from parents to children.
Hiatal hernia,A hiatal hernia occurs when the upper part of your stomach bulges through your diaphragm into your chest cavity.
Herniated disk,"Learn more from Mohamad Bydon, M.D."
Hiccups,"Spasms of your diaphragm that you can't control cause hiccups. The diaphragm is the muscle that separates your chest from your stomach area and plays an important role in breathing. This spasm causes your vocal cords to close briefly, producing a ""hic"" sound."
High cholesterol,"Cholesterol is a waxy substance found in your blood. Your body needs cholesterol to build healthy cells, but high levels of cholesterol can increase your risk of heart disease."
Hilar cholangiocarcinoma,
Kyphosis,"An increased front-to-back curve of the spine is called kyphosis.
"
Progeria,"Progeria (pro-JEER-e-uh), also known as Hutchinson-Gilford progeria syndrome, is an extremely rare, progressive genetic disorder. It causes children to age rapidly, starting in their first two years of life."
Hydrocele,"A hydrocele (HI-droe-seel) is a type of swelling in the scrotum, the pouch of skin that holds the testicles. This swelling happens when fluid collects in the thin sac that surrounds a testicle. Hydroceles are common in newborns. They often go away without treatment by age 1. Older children and adults can get a hydrocele due to an injury within the scrotum or other health problems."
Hydrocephalus,Hydrocephalus is the buildup of fluid in the cavities (ventricles) deep within the brain. The excess fluid increases the size of the ventricles and puts pressure on the brain.
Hydronephrosis,
Hypercalcemia,"The parathyroid glands lie behind the thyroid. They produce parathyroid hormone, which plays a role in regulating the body's blood level of calcium and phosphorus."
Hypereosinophilic syndrome,"Hypereosinophilic (hy-per-ee-o-SIN-o-phil-ik) syndrome (HES) is a group of blood disorders that occur when you have high numbers of eosinophils — white blood cells that play an important role in your immune system. Over time, the excess eosinophils enter various tissues, eventually damaging your organs."
Hyperoxaluria and oxalosis,Hyperoxaluria (hi-pur-ok-suh-LU-ree-uh) happens when you have too much oxalate in your urine. Oxalate is a natural chemical the body makes. It's also found in some foods. But too much oxalate in the urine can cause serious problems.
Pulmonary hypertension,"When blood vessels in the lungs become thickened, narrowed, blocked or destroyed, it's harder for blood to flow through the lungs. As a result, blood pressure increases in the lungs. This condition is called pulmonary hypertension."
Hyperthyroidism (overactive thyroid),"Hyperthyroidism happens when the thyroid gland makes too much thyroid hormone. This condition also is called overactive thyroid. Hyperthyroidism speeds up the body's metabolism. That can cause many symptoms, such as weight loss, hand tremors, and rapid or irregular heartbeat."
Low sex drive in women,"Women's sexual desires naturally fluctuate over the years. Highs and lows commonly coincide with the beginning or end of a relationship or with major life changes, such as pregnancy, menopause or illness. Some medications used for mood disorders also can cause low sex drive in women."
Hypoglycemia,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than the standard range. Glucose is your body's main energy source.
Hyponatremia,"Hyponatremia occurs when the concentration of sodium in your blood is abnormally low. Sodium is an electrolyte, and it helps regulate the amount of water that's in and around your cells."
Hypopituitarism,Hypopituitarism is a rare condition in which the pituitary gland doesn't make one or more hormones or doesn't make enough hormones.
Hypospadias,Hypospadias is a condition in which the opening of the urethra is on the underside of the penis instead of at the tip. The location of the opening can vary and can be anywhere from underneath the tip of the penis (more common) to the base of the penis (less common).
Low blood pressure (hypotension),Low blood pressure is generally considered a blood pressure reading lower than 90 millimeters of mercury (mm Hg) for the top number (systolic) or 60 mm Hg for the bottom number (diastolic).
Hypothyroidism (underactive thyroid),"Hypothyroidism happens when the thyroid gland doesn't make enough thyroid hormone. This condition also is called underactive thyroid. Hypothyroidism may not cause noticeable symptoms in its early stages. Over time, hypothyroidism that isn't treated can lead to other health problems, such as high cholesterol and heart problems."
Inflammatory bowel disease (IBD),"In Crohn's disease, any part of your small or large intestine can be involved. It may involve multiple segments, or it may be continuous. Crohn's disease most commonly affects the last part of the small intestine (ileum) and parts of the colon."
Irritable bowel syndrome,"Irritable bowel syndrome (IBS) is a common disorder that affects the stomach and intestines, also called the gastrointestinal tract. Symptoms include cramping, abdominal pain, bloating, gas, and diarrhea or constipation, or both. IBS is a chronic condition that you'll need to manage long term."
Idiopathic hypersomnia,"Idiopathic hypersomnia is an uncommon sleep disorder that causes you to be very sleepy during the day even after a full night of good sleep. Its cause is unknown. It also often causes difficulty waking up after you've been asleep. If you take a nap, you generally don't feel refreshed and you may wake up confused and disoriented."
Immune thrombocytopenia (ITP),"Immune thrombocytopenia (ITP) is an illness that can lead to bruising and bleeding. Low levels of the cells that help blood clot, also known as platelets, most often cause the bleeding."
Impacted wisdom teeth,"Wisdom teeth are the last of your teeth to appear (erupt) in the mouth. Sometimes a wisdom tooth becomes stuck below the surface of your gums (impacted), and grows at an odd angle, possibly causing complications.
"
Prediabetes,"Learn about insulin resistance from Eleanna De Filippis, M.D., Ph.D., an endocrinologist at Mayo Clinic."
Inherited metabolic disorders,Inherited metabolic disorders refer to different types of medical conditions caused by genetic defects — most commonly inherited from both parents — that interfere with the body's metabolism. These conditions may also be called inborn errors of metabolism.
Incompetent cervix,"The ovaries, fallopian tubes, uterus, cervix and vagina (vaginal canal) make up the female reproductive system."
Infertility,"If you and your partner are struggling to have a baby, you're not alone. In the United States, 10% to 15% of couples are infertile. Infertility is defined as not being able to get pregnant despite having frequent, unprotected sex for at least a year for most couples."
Male infertility,"Nearly 1 in 7 couples is infertile, which means they haven't been able to conceive a child even though they've had frequent, unprotected sexual intercourse for a year or longer. In up to half of these couples, male infertility plays at least a partial role."
Pancreatitis,"Gallstones are a common cause of pancreatitis. Gallstones, produced in the gallbladder, can slip out of the gallbladder and block the bile duct, stopping pancreatic enzymes from traveling to the small intestine and forcing them back into the pancreas. The enzymes then begin to irritate the cells of the pancreas, causing the inflammation associated with pancreatitis.
"
Pericarditis,The heart on the left shows the typical outer lining of the heart (pericardium). The heart on the right shows a swollen and infected lining (pericarditis).
Ingrown hair,"Ingrown hair occurs when a hair that's been removed starts to grow back and curves into the skin. Shaving, tweezing or waxing can cause this to happen. An ingrown hair can cause tiny, swollen bumps on the skin that may hurt. The condition most often affects Black people with curly hair who shave."
Insomnia,"Insomnia is a common sleep disorder that can make it hard to fall asleep, hard to stay asleep, or cause you to wake up too early and not be able to get back to sleep. You may still feel tired when you wake up. Insomnia can sap not only your energy level and mood but also your health, work performance and quality of life."
Intermittent explosive disorder,"Intermittent explosive disorder involves repeated, sudden episodes of impulsive, aggressive, violent behavior or angry verbal outbursts in which you react grossly out of proportion to the situation. Road rage, domestic abuse, throwing or breaking objects, or other temper tantrums may be signs of intermittent explosive disorder."
Intestinal ischemia,"The small intestine and colon are parts of your digestive tract, which processes the foods you eat. The intestines take nutrients from the foods. What isn't absorbed by the intestines continues along the digestive tract and is passed as stool during a bowel movement."
Intracranial venous malformations,Intracranial venous malformations are veins in the brain that are unusually large. These larger veins aren't likely to cause symptoms or affect how the veins work.
Invasive lobular carcinoma,Invasive lobular carcinoma is a type of breast cancer that begins in the milk-producing glands (lobules) of the breast.
Iritis,"The uvea consists of structures of the eye beneath the white of the eye (sclera). It has three parts: (1) the iris, which is the colored part of the eye; (2) the ciliary body, which is the structure in the eye that secretes the transparent liquid within the front of the eye; and (3) the choroid, which is the layer of blood vessels between the sclera and the retina."
Pancreatic neuroendocrine tumors,"Pancreatic neuroendocrine tumors are a rare type of cancer that starts as a growth of cells in the pancreas. The pancreas is a long, flat gland that sits behind the stomach. It makes enzymes and hormones that help digest food."
Itchy skin (pruritus),"Itchy skin is an irritating sensation that makes you want to scratch. It's also called pruritus (proo-RIE-tus). Itchy skin is often caused by dry skin and is common in older adults, as skin tends to become drier with age."
Jaw tumors and cysts,"Jaw tumors and cysts are relatively rare growths or lesions that develop in the jawbone or the soft tissues in the mouth and face. Jaw tumors and cysts — sometimes referred to as odontogenic or nonodontogenic, depending on their origin — can vary greatly in size and severity. These growths are usually noncancerous (benign), but they can be aggressive and expand, displace or destroy the surrounding bone, tissue and teeth."
Jellyfish stings,"Jellyfish stings are fairly common problems for people swimming, wading or diving in oceans. The long tentacles trailing from the jellyfish can inject venom from thousands of microscopic barbed stingers."
Jet lag disorder,"Jet lag, also called jet lag disorder, is a temporary sleep problem that can affect anyone who quickly travels across several time zones."
Jock itch,"Illustration of jock itch on different skin colors. Jock itch is an itchy rash, often on the groin and inner thighs."
Kaposi sarcoma,
Kawasaki disease,"Kawasaki disease causes swelling (inflammation) in children in the walls of small to medium-sized blood vessels that carry blood throughout the body. Kawasaki disease commonly leads to inflammation of the coronary arteries, which supply oxygen-rich blood to the heart."
Keloid scar,"A keloid scar is a thick raised scar. It can occur wherever you have a skin injury but usually forms on earlobes, shoulders, cheeks or the chest. If you're prone to developing keloids, you might get them in more than one place."
Keratitis,"Keratitis is an inflammation of the cornea — the clear, dome-shaped tissue on the front of your eye that covers the pupil and iris. Keratitis may or may not be associated with an infection. Noninfectious keratitis can be caused by a relatively minor injury, such as from wearing your contact lenses too long or getting a foreign body in the eye. Infectious keratitis can be caused by bacteria, viruses, fungi and parasites."
Keratoconus,"In keratoconus, your cornea thins and gradually bulges outward into a cone shape. This can cause blurry, distorted vision."
Keratosis pilaris,"Keratosis pilaris causes small bumps to appear on the upper arms, legs or buttocks. They usually don't hurt or itch."
Kidney infection,"Your urinary system includes the kidneys, ureters, bladder and urethra. The urinary system removes waste from the body through urine. The kidneys are located toward the back of the upper abdomen. They filter waste and fluid from the blood and produce urine. Urine moves from the kidneys through narrow tubes to the bladder. These tubes are called the ureters. The bladder stores urine until it's time to urinate. Urine leaves the body through another small tube called the urethra."
Kidney stones,"Your urinary system includes the kidneys, ureters, bladder and urethra. The urinary system removes waste from the body through urine. The kidneys are located toward the back of the upper abdomen. They filter waste and fluid from the blood and produce urine. Urine moves from the kidneys through narrow tubes to the bladder. These tubes are called the ureters. The bladder stores urine until it's time to urinate. Urine leaves the body through another small tube called the urethra."
Klinefelter syndrome,"Klinefelter syndrome is a genetic condition that results when a boy is born with an extra copy of the X chromosome. Klinefelter syndrome is a genetic condition affecting males, and it often isn't diagnosed until adulthood."
Klippel-Trenaunay syndrome,"Klippel-Trenaunay (klih-PEL tray-no-NAY) syndrome ― also called KTS ― is a rare disorder found at birth (congenital) involving problems in the development of certain blood vessels, soft tissues (such as skin and muscles), bones and sometimes the lymphatic system. The main features include a red birthmark (port-wine stain), ranging in color from pink to reddish-purple, atypical vein or lymphatic development (malformations), and overgrowth of tissues and bones. These findings most often affect one leg but may occur in an arm or elsewhere."
Knee pain,"Knee pain is a common complaint that affects people of all ages. Knee pain may be the result of an injury, such as a ruptured ligament or torn cartilage. Medical conditions — including arthritis, gout and infections — also can cause knee pain."
Left ventricular hypertrophy,Left ventricular hypertrophy is a thickening of the wall of the heart's main pumping chamber. This thickening may result in elevation of pressure within the heart and sometimes poor pumping action. The most common cause is high blood pressure.
Legg-Calve-Perthes disease,The hip joint is a ball-and-socket joint. The ball (femoral head) is at the top of the thigh bone (femur) and the socket (acetabulum) is part of the hipbone.
Leukoplakia,"Leukoplakia appears as thick, white patches on the inside surfaces of your mouth. It has a number of possible causes, including repeated injury or irritation. It can also be a sign of precancerous changes in the mouth or mouth cancer."
Lice,Head lice occur on the scalp and are easiest to see at the nape of the neck and over the ears. Small nits (eggs) resembling tiny pussy willow buds about the size of dandruff flakes are visible on hair shafts.
Lichen planus,"Lichen planus (LIE-kun PLAY-nus) is a condition of the skin, hair, nails, mouth and genitals. On skin, lichen planus often appears as purple, itchy, flat bumps that develop over several weeks. In the mouth and genital mucosa, lichen planus forms lacy white patches, sometimes with painful sores."
Oral lichen planus,This white lacelike patch on the interior surface of the cheek is typical for oral lichen planus.
Lichen sclerosus,"Lichen sclerosus (LIE-kun skluh-ROW-sus) is a condition that causes patchy, discolored, thin skin. It usually affects the genital and anal areas."
Lip cancer,"Lip cancer may appear as a sore on your lip that doesn't heal.
"
Liposarcoma,Liposarcoma is a type of cancer that starts in the fat cells. It happens most often in the muscles of the limbs or the abdomen.
Liver disease,"The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach."
Morphea,Morphea is a rare skin condition characterized by small red or purple patches that develop firm white or ivory centers. The affected skin becomes tight and less flexible.
Tetanus,"Tetanus is a serious disease of the nervous system caused by a toxin-producing bacterium. The disease causes muscle contractions, particularly of your jaw and neck muscles. Tetanus is commonly known as lockjaw."
Long QT syndrome,"Long QT syndrome (LQTS) is a heart signaling disorder that can cause fast, chaotic heartbeats (arrhythmias). A heart signaling disorder is also called a heart conduction disorder."
Thrombocytopenia,Thrombocytopenia is a condition in which you have a low blood platelet count. Platelets (thrombocytes) are colorless blood cells that help blood clot. Platelets stop bleeding by clumping and forming plugs in blood vessel injuries.
Low sperm count,Low sperm count means that the fluid (semen) you ejaculate during an orgasm contains fewer sperm than normal.
Lupus nephritis,"The kidneys remove waste and excess fluid from the blood through structures called nephrons. Each nephron contains a filter called a glomerulus that has a network of tiny blood vessels called capillaries. When blood flows into a glomerulus, tiny molecules — water, essential minerals and nutrients, and wastes — pass through the capillary walls. Large molecules, such as proteins and red blood cells, do not. The filtered solution then passes into another part of the nephron called the tubule. The water, nutrients and minerals that the body needs are transferred back to the bloodstream. The excess water and waste become urine that flows to the bladder."
Lyme disease,Lyme disease is an illness caused by borrelia bacteria. Humans usually get Lyme disease from the bite of a tick carrying the bacteria.
Lymphedema,"Lymphedema refers to tissue swelling caused by an accumulation of protein-rich fluid that's usually drained through the body's lymphatic system. It most commonly affects the arms or legs, but can also occur in the chest wall, abdomen, neck and genitals."
Lymphoma,"Learn more from hematologist Stephen Ansell, M.D."
Waldenstrom macroglobulinemia,Waldenstrom macroglobulinemia (mak-roe-glob-u-lih-NEE-me-uh) is a rare type of cancer that begins in the white blood cells.
Undifferentiated pleomorphic sarcoma,"Undifferentiated pleomorphic sarcoma (UPS) is a rare type of cancer that begins mostly in the soft tissues of the body. Soft tissues connect, support and surround other body structures."
Marfan syndrome,"Marfan syndrome is an inherited disorder that affects connective tissue — the fibers that support and anchor your organs and other structures in your body. Marfan syndrome most commonly affects the heart, eyes, blood vessels and skeleton."
Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS),Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) is a complicated disorder.
Medication overuse headaches,"Medication overuse headaches — also known as rebound headaches — are caused by the long-term use of medicines to treat headaches such as migraines. Pain relievers offer relief for occasional headaches. But if you take them more than a couple of days a week, they may trigger headaches."
Medulloblastoma,
Melanoma,Melanoma is a form of skin cancer that begins in the cells (melanocytes) that control the pigment in your skin. This illustration shows melanoma cells extending from the surface of the skin into the deeper skin layers.
"Multiple endocrine neoplasia, type 2 (MEN 2)","Multiple endocrine neoplasia, type 2, also called MEN 2, is a rare condition. It causes tumors in the thyroid and parathyroid glands, adrenal glands, lips, mouth, eyes and digestive tract. Genetic testing can find the changed gene that causes MEN 2. Health care providers can treat the health issues that gene may cause."
Meniere's disease,"Meniere's disease is an inner ear problem that can cause dizzy spells, also called vertigo, and hearing loss. Most of the time, Meniere's disease affects only one ear."
Meningioma,"Three layers of membranes known as meninges protect the brain and spinal cord. The delicate inner layer is the pia mater. The middle layer is the arachnoid, a web-like structure filled with fluid that cushions the brain. The tough outer layer is called the dura mater."
Meningitis,Meningitis is an infection and inflammation of the fluid and membranes surrounding the brain and spinal cord. These membranes are called meninges.
Menopause,"Menopause is the time that marks the end of your menstrual cycles. It's diagnosed after you've gone 12 months without a menstrual period. Menopause can happen in your 40s or 50s, but the average age is 51 in the United States."
Mental illness,"Mental illness, also called mental health disorders, refers to a wide range of mental health conditions — disorders that affect your mood, thinking and behavior. Examples of mental illness include depression, anxiety disorders, schizophrenia, eating disorders and addictive behaviors."
Mesenteric ischemia,"In mesenteric ischemia, a blockage in an artery cuts off blood flow to a portion of the intestine."
Metachromatic leukodystrophy,"Metachromatic leukodystrophy is a rare hereditary (genetic) disorder that causes fatty substances (lipids) to build up in cells, particularly in the brain, spinal cord and peripheral nerves. This buildup is caused by a deficiency of an enzyme that helps break down lipids called sulfatides. The brain and nervous system progressively lose function because the substance that covers and protects the nerve cells (myelin) is damaged."
Myasthenia gravis,Myasthenia gravis (my-us-THEE-nee-uh GRAY-vis) causes muscles under your voluntary control to feel weak and get tired quickly. This happens when the communication between nerves and muscles breaks down.
Monoclonal gammopathy of undetermined significance (MGUS),Monoclonal gammopathy of undetermined significance (MGUS) is a condition in which an atypical protein is found in the blood. The protein is called monoclonal protein or M protein.
Mild cognitive impairment (MCI),"Mild cognitive impairment (MCI) is the stage between the expected decline in memory and thinking that happens with age and the more serious decline of dementia. MCI may include problems with memory, language or judgment."
Miscarriage,Miscarriage is the spontaneous loss of a pregnancy before the 20th week. About 10 to 20 percent of known pregnancies end in miscarriage. But the actual number is likely higher because many miscarriages occur very early in pregnancy — before you might even know about a pregnancy.
Mitral valve disease,"The mitral valve separates the two chambers of the left side of the heart. In mitral valve prolapse, the valve flaps bulge into the upper left chamber during each heartbeat. Mitral valve prolapse can cause blood to leak backward, a condition called mitral valve regurgitation."
Mitral valve regurgitation,"Mitral valve regurgitation is a type of heart valve disease in which the valve between the left heart chambers doesn't close completely, allowing blood to leak backward across the valve. It is the most common type of heart valve disease (valvular heart disease). If the leakage is severe, not enough blood will move through the heart or to the rest of the body. As a result, mitral valve regurgitation can make you feel very tired (fatigued) or short of breath."
Mitral valve stenosis,"Mitral valve stenosis, shown in the heart on the right, is a condition in which the heart's mitral valve is narrowed. The valve doesn't open properly, blocking blood flow coming into the left ventricle, the main pumping chamber of the heart. A typical heart is shown on the left."
Mittelschmerz,"The ovaries, fallopian tubes, uterus, cervix and vagina (vaginal canal) make up the female reproductive system."
