,Disease,combined_symptoms
354,Hiatal hernia,heartburnregurgitation food liquid into the mouthbackflow stomach acid esophagus acid reflux difficulty swallowingchest abdominal painfeeling full soon after you eatshortness breathvomiting blood passing black stool which may indicate gastrointestinal bleedingmost small hiatal hernia cause sign symptom but large can cause
355,Hiccups,drinking carbonate beverage drinking too much alcohol eat much be excite under emotional stress experience sudden temperature change swallow air such when chew gum smoking symptom include uncontrolled spasm your diaphragm and hic sound sometimes you may feel slight tighten sensation chest stomach area throat
356,Hidradenitis suppurativa,blackhead blackhead appear small pit area skin often appear pair painful pea size lump the condition usually start with single painful lump under the skin that persists for week month more bump may form later where you have more sweat and oil gland rub together such armpit groin buttock breast leak sore some sore get big break open drain pu odor tunnel over time tunnel might connect lump these wound heal slowly all blood pu hidradenitis suppurativa can affect one several body sign symptom include
357,High cholesterol,arcus senilis sign high cholesterol high cholesterol have symptom blood test the only way detect you have
358,Hip dysplasia,first pregnancylarge babybreech presentationsigns and symptom vary age group infant you might notice that one leg longer than the other once child begin walk limp may develop during diaper change hip less flexible
359,Hives and angioedema,skin color reddish white skin purplish black and brown skinitchy range from mild intenseround oval worm shapedas small pea large dinner platethe welt associate with hive can
360,Hoarding disorder,get and keep too many item that you may not have need for right now don space for ongoing difficulty throw out part with your thing regardless their actual value feel save these be upset the thought get rid them building clutter point where can use room try perfect avoid delay decision problem planning organize the first symptom hoard disorder often appear during teenage early adult year you get item gradually build living space thing
361,Hodgkin's lymphoma (Hodgkin's disease),painless swell lymph node your neck armpit groinpersistent fatiguefevernight sweatslosing weight without tryingsevere itchingpain after drinking alcoholone the most common place find swollen neck the inset show three below low jaw
362,Huntington's disease,involuntary jerking writhe movement chorea muscle problem such rigidity muscle contracture dystonia slow unusual eye movementsimpaired gait posture and balancedifficulty with speech swallowinghuntington disease usually cause movement cognitive psychiatric disorder wide spectrum sign symptom which symptom appear first varies greatly from person person some more dominant have great effect functional ability but that can change throughout the course disease
363,Hydrocele,injury inflammation within the scrotum infection include sexually transmit infection often only sign hydrocele painless swell one both testicle
364,Hydrocephalus,unusually large heada rapid increase the size bulge tense soft spot fontanel top headthe sign and symptom hydrocephalus vary somewhat age onset
365,Hypercalcemia,kidney excess calcium make your kidney work harder filter this can cause excessive thirst and frequent urination digestive system hypercalcemia stomach upset nausea vomit constipation bone muscle most case the excess blood be leach from bone which weakens them bone pain muscle weakness brain hypercalcemia interfere with how brain work result confusion lethargy fatigue also depression heart rarely severe hypercalcemia heart function cause palpitation fainting indication cardiac arrhythmia other problem you might not have sign symptom mild more severe case produce related part body affected high level blood example include
366,Hypereosinophilic syndrome,book mayo clinic family health book th editionnewsletter letter digital editionearly symptom he may include fatigue cough breathlessness muscle pain rash and fever
367,Hyperhidrosis,sweat disrupts your daily routinesweating cause emotional distress social withdrawalyou suddenly begin sweat more than usualyou experience night sweat for apparent reasonthe main symptom hyperhidrosis heavy sweat this go beyond the sweat from be hot environment exercise feel anxious stress the type that usually affect hand foot underarms face least one episode week when you awake and happens both side body
368,Hyperoxaluria and oxalosis,sharp pain the back side low stomach area groin urine that look pink red brown due blood frequent urge pee also call urination pain when pee not be able urinate pee only small amount chill fever upset vomit often first sign hyperoxaluria kidney stone kidney stone symptom can include
369,Hypertension ,headache chest pain dizziness loss balance lack concentration
370,Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
371,Hyperthyroidism (overactive thyroid),lose weight without try fast heartbeat condition call tachycardia irregular also arrhythmia pound the heart sometimes heart palpitation increase hunger nervousness anxiety and irritability tremor usually small tremble hand finger sweat change menstrual cycle increase sensitivity heat change bowel pattern especially more frequent movement enlarge thyroid gland goiter which may appear swell base neck tiredness muscle weakness sleep problem warm moist skin thin skin fine brittle hair hyperthyroidism look like other health problem that can make hard diagnose cause many symptom include
372,Hypertrophic cardiomyopathy,chest pain especially during exercisefainting just after exercise exertionheart murmur which health care provider might detect while listen the heartsensation fast flutter pound heartbeat palpitation shortness breath exercisesigns and symptom hypertrophic cardiomyopathy include one more follow
373,Hypoglycemia,look paleshakinesssweatingheadachehunger nauseaan irregular fast heartbeatfatigueirritability anxietydifficulty concentratingdizziness lightheadednesstingling numbness the lip tongue cheekif blood sugar level become too low hypoglycemia sign and symptom can include vomit fatigue anxiety sweat headache nausea blur distort vision excessive hunger slur speech irritability palpitation dry tingle lip
374,Hyponatremia,nausea and vomitingheadacheconfusionloss energy drowsiness fatiguerestlessness irritabilitymuscle weakness spasm crampsseizurescomahyponatremia sign symptom may include
375,Hypopituitarism,fatigue muscle weakness change body fat loss interest activity lack social contact the symptom hypopituitarism usually start slowly and get bad over time they might not notice for month even year but some people suddenly
376,Hypospadias,opening the urethra location other than tip penisdownward curve penis chordee hood appearance because only top half cover foreskinabnormal spray during urinationin hypospadias opening locate underside instead tip most case within head penis less often middle base rarely beneath scrotum
377,Hypothermia,shiveringslurred speech mumblingslow shallow breathingweak pulseclumsiness lack coordinationdrowsiness very low energyconfusion memory lossloss consciousnessbright red cold skin infant shiver likely the first thing you notice temperature start drop because your body automatic defense against attempt warm itself
378,Hypothyroidism,fatigue weight gain cold hand and feets mood swing lethargy dizziness puffy face eye enlarge thyroid brittle nail swollen extremeties depression irritability abnormal menstruation
379,Hypothyroidism (underactive thyroid),tiredness more sensitivity cold constipation dry skin weight gain puffy face hoarse voice coarse hair and skin muscle weakness muscle ache tenderness stiffness menstrual cycle that be heavier than usual irregular thin hair slow heart rate also call bradycardia depression memory problem the thyroid gland locate the base neck just below adam apple
380,IgA nephropathy (Berger disease),cola tea color urine cause blood you might notice these color change after cold sore throat respiratory infection blood that can see the urine foamy from protein leak into urine this call proteinuria pain one both side back below rib swell hand and foot edema high blood pressure weakness tiredness iga nephropathy often doesn cause symptom early not any health effect for year more sometimes routine medical test find sign disease such red cell be under microscope
381,Illness anxiety disorder,be preoccupy with have get serious disease health conditionworrying that minor symptom body sensation mean you have illnessbeing easily alarmed about your statusfinding little reassurance from doctor visit negative test resultsworrying excessively specific medical condition risk develop because run familyhaving much distress possible illness hard for functionrepeatedly check sign illness diseasefrequently make appointment avoid care fear be diagnose illnessavoiding people place activity risksconstantly talk and illnessesfrequently search the internet cause illnessessymptoms anxiety disorder involve preoccupation idea you seriously ill base normal such noisy stomach rash sign may include
382,Immune thrombocytopenia (ITP),easy bruising bleeding into the skin that look like tiny reddish purple spot also know petechia the spot mostly show low leg they look rash bleeding that large than petechia purpura bleeding from gum nose blood urine stool really heavy menstrual flow bleeding petechia might rash here they appear leg and stomach area b
383,Impacted wisdom teeth,red swollen gumstender bleeding gumsjaw painswelling around the jawbad breathan unpleasant taste your mouthdifficulty opening mouthimpacted wisdom teeth don always cause symptom however when impact tooth becomes infect damage other cause dental problem you may experience some these sign symptom
384,Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
385,Incompetent cervix,feel pelvic pressure new backache mild stomach cramp change vaginal discharge light bleeding with incompetent cervix there may sign symptom during early pregnancy some woman have mild discomfort spot before the diagnosis often this occurs week
386,Indigestion,early fullness during meal you haven eat much your meal but you already feel full and may not able finish eat uncomfortable after meal the feel last longer than should discomfort the upper abdomen you mild severe pain area between bottom breastbone bellybutton burning uncomfortable heat burning sensation bellybutton bloating tightness abdomen nausea you want vomit have indigestion have
387,Infant reflux,isn gain weight consistently spit forcefully cause stomach content shoot out the mouth this call projectile vomit spit green yellow fluid spit blood that look like coffee ground refuse feed eat have stool have difficulty breathing cough won go away begin spit age month old unusually irritable after eat doesn have much energy most case infant reflux isn cause for concern unusual enough acid irritate throat esophagus and symptom
388,Infertility,be age old and have be try conceive for six month longerare over have irregular absent periodshave very painful know fertility problemshave diagnose with endometriosis pelvic inflammatory diseasehave have multiple miscarriageshave undergone treatment cancerthe main symptom infertility not get pregnant there may other obvious symptom sometimes woman menstrual period some case men sign hormonal problem such change hair growth sexual function
389,Inflammatory bowel disease (IBD),diarrheafatigueabdominal pain and crampingblood your stoolreduced appetiteunintended weight lossinflammatory bowel disease symptom vary depend the severity inflammation where occurs symptom may range from mild severe you be likely have period active illness follow remission
390,Inflammatory breast cancer,rapid change the appearance one breast over course several weeksthickness heaviness visible enlargement breastdiscoloration give breast red purple pink bruise appearanceunusual warmth affected breastdimpling ridge skin similar orange peeltenderness pain achingenlarged lymph node under arm above collarbone below collarboneflattening turn inward nippleinflammatory cancer doesn commonly form lump occurs with other form cancer instead sign and symptom inflammatory include
391,Influenza (flu),feveraching muscleschills and sweatsheadachedry persistent coughshortness breathtiredness weaknessrunny stuffy nosesore throateye painvomiting diarrhea but this more common child than adultsat first the flu may seem like cold with runny nose sneeze sore throat cold usually develop slowly but tends come suddenly and while can miserable you feel much bad flu
392,Ingrown hair,tiny swollen bump where you shave tweeze waxsmall that look like blister be fill with pussmall darker than surround skin hyperpigmentation burning stingingitchinghair the shape loop because tip hair curve and grows into skinsigns symptom ingrown include
393,Insomnia,difficulty fall asleep nightwaking during the too earlynot feel well rest after night sleepdaytime tiredness sleepinessirritability depression anxietydifficulty pay attention focus task rememberingincreased error accidentsongoing worry about sleepinsomnia symptom may include
394,Intermittent explosive disorder,rageirritabilityincreased energyracing thoughtstinglingtremorspalpitationschest tightnessexplosive eruption occur suddenly with little warn and usually last less than minute these episode may frequently separate week month nonaggression less severe verbal outburst between physical aggression you irritable impulsive aggressive chronically angry most the time
395,Interstitial lung disease,shortness breath rest aggravate exertiondry coughthe primary sign and symptom interstitial lung disease be
396,Intestinal ischemia,sudden belly abdominal pain that may mild moderate severean urgent need have bowel movementfrequent forceful movementsabdominal tenderness bloating distention blood your stoolnausea and vomitingmental confusion old adultssigns symptom intestinal ischemia can develop suddenly acute gradually chronic sign different from one person the next but there be some generally recognize pattern suggest ischemia
397,Intracranial hematoma,headache that get worsevomitingdrowsiness and progressive loss consciousnessdizzinessconfusionunequal pupil sizeslurred speechloss movement paralysis the opposite side body from head injuryyou might develop sign symptom intracranial hematoma right after injury they may take week longer appear you seem fine injury this period call lucid interval
398,Invasive lobular carcinoma,area thicken part the breasta new fullness swell change texture appearance skin over breast such dimple thickeninga newly invert nippleat it early stage invasive lobular carcinoma may cause sign and symptom grows large cause
399,Iritis,eye rednessdiscomfort achiness the affected eyesensitivity lightdecreased visioniritis can occur one both eye usually develops suddenly and last three month
400,Irritable bowel syndrome,abdominal pain cramp bloating that related passing bowel movementchanges appearance how often you be have movementsymptoms ibs vary but usually present for long time the most common include
401,Ischemic colitis,pain tenderness cramp your belly which can occur suddenly happen over timebright red maroon blood stool time passage alone without stoola feel urgency move bowelsdiarrheanauseasymptoms ischemic colitis include
402,Itchy skin (pruritus),inflame skinscratch marksbumps spot blistersdry crack skinleathery scaly patchesitchy skin can affect small area such the scalp arm leg cover whole body itchy occur without any other noticeable change skin may come with
403,Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
404,Jaw tumors and cysts,ameloblastoma this rare usually noncancerous benign tumor begin the cell that form protective enamel line teeth develops most often jaw near molar the common type aggressive form large tumor and grow into jawbone although this can recur after treatment aggressive surgical treatment will typically reduce chance recurrence central giant cell granuloma central granuloma be benign lesion grow from bone cell they occur front portion low jaw one these rapidly cause pain destroy bone have tendency treatment other less may not have symptom rarely shrink resolve it own but require treatment dentigerous cyst this cyst originates tissue surround tooth before erupts mouth this affect jaw most cyst around wisdom teeth fully erupt they also involve teeth odontogenic keratocyst this refer keratocystic odontogenic because tumorlike slow grow still destructive left untreated over long period time third these found people with inherit condition call nevoid basal carcinoma syndrome odontogenic myxoma this slow grow occurs aggressively invade surround displace odontogenic myxoma know treatment however chance recurrence lessen more aggressive form treatment odontoma this tumor odontomas symptom interfere development eruption make dental grows resemble oddly shape small calcify part some genetic syndrome other type tumor these include adenomatoid tumor calcify epithelial glandular cyst squamous cementoblastoma aneurysmal ossify fibroma osteoblastoma central fibroma others abnormal growth mass tissue lesion contains liquid semisolid material example include
405,Jellyfish stings,burning prickle sting painwelts track the skin print tentacle contact with skinitchiness pruritus swellingthrobbing pain that radiates leg armsymptoms jellyfish sting include
406,Jet lag disorder,sleep problem such not be able fall asleep wake early daytime fatigue not focus function your usual level stomach constipation diarrhea general feel well mood change symptom jet lag can vary you may experience only one symptom you have many jet symptom include
407,Jock itch,spread rash that begin the crease groin and move down upper thigh buttock whose center tends clear spread may full partially ring shape border with small blister itchiness scaly skin might red brown purple gray depend your skin color symptom jock itch be
408,Juvenile idiopathic arthritis,pain while your child might not complain joint pain you may notice that she limp especially first thing the morning after nap swell joint swell common but often notice large joint such knee stiffness you appear clumsier than usual particularly nap fever swollen lymph node and rash some case high fever rash trunk occur which usually bad evening the most sign symptom juvenile idiopathic arthritis be
409,Kawasaki disease,rash the main part body genital areaan enlarge lymph node neckextremely red eye without thick dischargered dry crack lip and extremely red swollen tongueswollen skin palm hand sol foot with later peel finger toesto receive diagnosis kawasaki disease child usually will have fever great than f c for five more day least four follow sign symptom
410,Keloid scar,thick irregular scar typically the earlobe shoulder cheek middle chestshiny hairless lumpy raise skinvaried size depend size original injury and when keloid stop growingvaried texture from soft firm rubberyreddish brown purplish your skin coloritchinessdiscomforta scar may form within month year incite injury sign symptom might include
411,Keratitis,eye rednesseye painexcess tear other discharge from your eyedifficulty opening eyelid because pain irritationblurred visiondecreased visionsensitivity light call photophobiaa feel that something eyesymptoms keratitis include
412,Keratoconus,blur distort vision increase sensitivity bright light and glare which can cause problem with night drive need for frequent change eyeglass prescription sudden worsen cloud vision symptom keratoconus may change the disease progress they include
413,Keratosis pilaris,painless tiny bump the upper arm thigh cheek buttocksdry rough skin area with bumpsworsening when seasonal change cause low humidity and dry skinsandpaper like resemble goose fleshkeratosis pilaris can occur any age but more common young child symptom include
414,Kidney cancer,blood your urine which may appear pink red cola coloredpain back side that doesn go awayloss appetiteunexplained weight losstirednessfeverkidney cancer usually have sign symptom it early stage time and develop include
415,Kidney cysts,dull pain the back sidefeverupper stomach painsimple kidney cyst typically don cause symptom but simple cyst grows large enough symptom may include
416,Kidney infection,feverchillsa burning feel pain when urinatinghaving urinate oftena strong last urge urinateback side groin painnausea and vomitingpus blood the urineurine that smell bad cloudybelly painsymptoms kidney infection might include
417,Kidney stones,severe sharp pain the side and back below ribspain that radiates low abdomen groinpain come wave fluctuates intensitypain burning sensation while urinatingkidney stone form your kidney move into ureter thin tube allow urine pas from kidney bladder sign symptom can result sign kidney include severe pain nausea vomit fever chill blood urine
418,Kleptomania,inability resist powerful urge steal item that you don needfeeling increase tension anxiety arousal lead the theftfeeling pleasure relief satisfaction while stealingfeeling terrible guilt remorse self loathe shame fear arrest after theftreturn and repetition kleptomania cyclekleptomania symptom may include
419,Klinefelter syndrome,weak musclesslow motor development take longer than average sit crawl and walkdelay speakingproblems birth such testicle that haven descend into the scrotumsigns symptom klinefelter syndrome vary widely among male with disorder many boy show few only mild sign the condition may go undiagnosed until adulthood never diagnose for others have noticeable effect growth appearance
420,Klippel-Trenaunay syndrome,port wine stain this pink reddish purple birthmark cause extra tiny blood vessel capillary the top layer skin the often cover part one leg but can involve any portion may get darker lighter with age vein malformation these include swollen twist vein varicose vein usually surface leg deeper malformed arm leg abdomen and pelvis also occur there spongy tissue fill small under malformed become more prominent age overgrowth bone soft tissue this begin infancy limited leg occur arm rarely trunk face this overgrowth bone creates large longer extremity rarely there fusion finger toe toe lymphatic system malformation the lymphatic immune that protects against infection disease transport fluid malformed extra present don work properly lead leakage into tissue swell other condition ktscan cataract glaucoma hip dislocation birth purple red skin color when cold blood clot problem people who have kt follow feature which range from mild extensive
421,Knee bursitis,frequent and sustain pressure such from kneel especially hard surfacesoveruse strenuous activitya direct blow your kneebacterial infection the bursacomplications osteoarthritis rheumatoid arthritis gout kneeknee bursitis sign symptom vary depend which bursa affected what cause inflammation
422,Knee pain,swell and stiffnessredness warmth the touchweakness instabilitypopping crunch noisesinability fully straighten kneethe location severity knee pain may vary depend cause problem sign symptom that sometimes accompany include
423,Kyphosis,fracture broken vertebra can result curvature the spine compression fracture which occur weaken bone be most common mild compression fracture often don produce noticeable sign symptom osteoporosis weak bone cause spinal curvature especially develop fracture osteoporosis common old woman and people who have take corticosteroid for long period time disk degeneration soft circular disk act cushion between vertebra with age these flatten shrink worsens kyphosis scheuermann disease also call scheuermann kyphosis this disease typically begin during growth spurt that occurs before puberty other problem spinal properly birth kyphosis kyphosis child also associate with certain medical condition such ehlers danlos syndrome mild kyphosis may symptom fact upper back naturally have little people excessive experience pain stiffness
424,Latex allergy,itchingskin rednesshives rashif you allergic latex likely have symptom after touch latex rubber product such glove balloon you also can you breathe particle that be release into the air when someone remove glove
425,Left ventricular hypertrophy,shortness breath especially while lie downswelling the legschest pain often when exercisingsensation rapid flutter pound heartbeat call palpitationsfainting feel lightheadednessleft ventricular hypertrophy usually develops gradually some people not have symptom during early stage condition
426,Legg-Calve-Perthes disease,limpingpain stiffness the hip groin thigh kneelimited range motion hip jointpain that worsens with activity and improves restsigns symptom legg calve perthes disease include
427,Leukemia,fever chillspersistent fatigue weaknessfrequent severe infectionslosing weight without tryingswollen lymph node enlarge liver spleeneasy bleeding bruisingrecurrent nosebleedstiny red spot your skin petechia excessive sweat especially nightbone pain tendernessleukemia symptom vary depend the type leukemia common leukemia sign and include
428,Leukoplakia,white grayish patch that can wipe awayirregular flat texturedthickened harden areasalong with raise red lesion speckle leukoplakia erythroplakia which be more likely show precancerous changesleukoplakia usually occurs your gum the inside cheek bottom mouth beneath tongue and sometimes tongue isn painful and may go unnoticed for while
429,Lewy body dementia,visual hallucination see thing that aren there know hallucination might one the first symptom lewy body dementia this symptom often occurs regularly people with dementia see shape animal people there hallucination involve sound smell touch be possible movement disorder sign parkinson disease parkinsonian sign may occur these include slow movement rigid muscle tremor shuffle walk can cause person fall poor regulation function the part nervous system control automatic function call autonomic system affect how well blood pressure heart rate sweat and digestion result sudden drop pressure upon stand dizziness fall loss bladder control bowel issue such constipation cognitive problem people have think problem similar those alzheimer disease they confusion poor attention visual spatial memory loss trouble sleep people rapid eye movement rem sleep behavior disorder disorder cause physically act out their dream while asleep withremsleep punch kick yell scream sleep vary attention episode drowsiness long period star into space nap during day disorganize speech possible depression people develop depression apathy loss motivation occur lewy include
430,Lice,intense itchingon the scalp body genital area tickle feelingfrom movement hair the presence louse your body clothing pubic other hair adult may about size sesame seed slightly large louse egg nit hair shaft nit difficult see because they very tiny they easy spot around ear and nape neck nit can mistaken for dandruff but unlike they can easily brush out hair sore neck shoulder scratch lead small red bump that sometimes get infect with bacteria bite mark especially waist groin upper thigh area head feed blood from scalp the female louse lay stick shaft
431,Lichen planus,purple shiny flat bump often the inner forearm wrist ankle line rash where skin have be scratch lacy white patch tongue inside cheek itchiness painful sore mouth genitals rarely hair loss nail scar loss dark line from tip nail base symptom lichen planus vary depend part body affected nail disease usually affect several nail symptom include
432,Lichen sclerosus,smooth discolor skin patchesblotchy wrinkle patchesitchingsoreness burning feelingeasy bruisingfragile skinchanges the tube for urine flow urethra bleeding blistering open sorespainful sexlichen sclerosus condition characterize discolor blotchy patch skin
433,Lip cancer,flat slightly raise whitish discoloration the lipa sore your lip that won healtingling pain numbness lip skin around mouthsigns and symptom cancer include
434,Liposarcoma,grow lump tissue under the skin pain swell weakness affected limb liposarcoma symptom depend part body where cancer form
435,Liver cancer,lose weight without tryingloss appetiteupper abdominal painnausea and vomitinggeneral weakness fatigueabdominal swellingyellow discoloration your skin the white eye jaundice white chalky stoolsthe liver large internal organ about size football locate mainly upper right portion abdomen beneath diaphragm above stomach
436,Liver disease,skin and eye that appear yellowish jaundice abdominal pain swellingswelling the leg anklesitchy skindark urine colorpale stool colorchronic fatiguenausea vomitingloss appetitetendency bruise easilyliver problem can occur include fatty liver disease cirrhosis the it cell see through microscope change dramatically when normal becomes cirrhotic
437,Long QT syndrome,blur visionlightheadednesspounding heartbeat palpitation weaknesssome people with long qt syndrome lqts not have any noticeable symptom the condition may discover when electrocardiogram ecg genetic test do for other reason
438,Low blood pressure (hypotension),blur fading visiondizziness lightheadednessfaintingfatiguetrouble concentratingnausealow blood pressure hypotension symptom may include
439,Low sex drive in women,have interest any type sexual activity include masturbationnever only seldom have fantasy thoughtsbeing concerned your lack activity fantasiesif you want have sex less often than partner do neither one necessarily outside the norm for people stage life although difference may cause distress
440,Low sperm count,problem with sexual function for example low sex drive difficulty maintain erection erectile dysfunction pain swell lump the testicle areadecreased facial body hair other sign chromosome hormone abnormalitythe main sign sperm count inability conceive child there might obvious symptom some men underlie problem such inherit chromosomal abnormality hormonal imbalance dilate testicular vein condition that block passage may cause and
441,Lung cancer,new cough that doesn go awaycoughing blood even small amountshortness breathchest painhoarsenesslosing weight without tryingbone painheadachelung cancer typically cause sign and symptom it early stage sign lung occur when the disease advanced
442,Lupus nephritis,blood your urinefoamy urine due excess protein urine high blood pressureswelling hand ankle feethigh level waste product call creatinine bloodsigns and symptom lupus nephritis include
443,Lyme disease,fever headache extreme tiredness joint stiffness muscle ache and pain swollen lymph node tick bite may look like tiny itchy bump your skin much mosquito bite this doesn mean you have tick borne disease many people will not notice they have
444,Lymphedema,swell part all the arm leg include finger toesa feel heaviness tightnessrestricted range motionrecurring infectionshardening and thicken skin fibrosis the lymphatic system body immune system which protects against infection disease the include spleen thymus lymph node channel well tonsil adenoid
445,Lymphoma,painless swell lymph node your neck armpit groinpersistent fatiguefevernight sweatsshortness breathunexplained weight lossitchy skinone the most common place find swollen neck the inset show three below low jaw
446,Lynch syndrome,colon cancer before age cancer the inside line uterus endometrial cancer personal history more than one type cancera family other cancer cause lynch syndrome include stomach cancer ovarian pancreatic kidney bladder ureteral brain small intestine gallbladder bile duct and skin cancerpeople with syndrome may experience
447,Malaria,chill vomit high fever sweat headache nausea muscle pain diarrhoea
448,Male breast cancer,painless lump thicken your breast tissuechanges the skin cover breast such dimple pucker redness scalingchanges nipple scale nipple that begin turn inwarddischarge from nipplesigns and symptom male cancer can include
449,Male infertility,problem with sexual function for example difficulty ejaculation small volume fluid ejaculate reduce desire maintain erection erectile dysfunction pain swell lump the testicle arearecurrent respiratory infectionsinability smellabnormal breast growth gynecomastia decrease facial body hair other sign chromosomal hormonal abnormalitya low than normal sperm count few million per milliliter semen total less ejaculate the main sign male infertility inability conceive child there may obvious symptom
450,Marfan syndrome,tall and slender builddisproportionately long arm leg fingersa breastbone that protrudes outward dip inwarda high arch palate crowd teethheart murmursextreme nearsightednessan abnormally curve spineflat feetpeople who have marfan syndrome typically especially finger common for their thumb extend far beyond the edge hand when they make fist
451,Mastitis,breast tenderness warmth the touchbreast swellingthickening breast tissue lumppain burning sensation continuously while breast feedingskin redness often wedge shape patterngenerally feel illfever f c greatersigns and symptom mastitis can appear suddenly they may include
452,Median arcuate ligament syndrome (MALS),pain the upper middle stomach area which may go away when lean forwardstomach pain after eat exercise change body positionbloatingdiarrheafear eat food due pain lead significant weight loss usually great than pound kilogram nausea and vomitingoften compression celiac artery doesn cause any symptom
453,Medication overuse headaches,occur every day nearly day they often wake you the early morning improve with pain medicine but then return wear off symptom medication overuse headache may vary can depend type headache be treat and use medication tend
454,Melanoma,change exist molethe development new pigment unusual look growth your skinmoles be usually harmless they may contain hair become raise wrinkle talk doctor about any the color size mole itch pain bleeding inflammation develops
455,Meniere's disease,regular dizzy spell you have spin feel that start and stop suddenly vertigo may start without warn usually last minute hour but not more than hour serious vertigo can cause nausea hearing loss hearing loss meniere disease come go especially early over time hearing long last get well ring the ear ring ear call tinnitus tinnitus term for when you ring buzzing roar whistle hiss sound your ear feel fullness ear people with often feel pressure ear this aural fullness symptom include
456,Meningioma,change vision such see double blurrinessheadaches especially those that be bad the morninghearing loss ring earsmemory lossloss smellseizuresweakness your arm legslanguage difficultysigns and symptom meningioma typically begin gradually may very subtle first depend where brain rarely spine tumor situate sign include
457,Meningitis,sudden high fever stiff neck severe headache nausea vomit confusion trouble concentrate seizure sleepiness wake sensitivity light appetite thirst skin rash some case such meningococcal meningitis early meningitis symptom may similar the flu symptom develop over several hour few day
458,Menopause,irregular periodsvaginal drynesshot flasheschillsnight sweatssleep problemsmood changesweight gain and slow metabolismthinning hair dry skinloss breast fullnessin the month year lead menopause perimenopause you might experience these sign symptom
459,Menorrhagia (heavy menstrual bleeding),soak through one more sanitary pad tampon every hour for several consecutive hoursneeding use double protection control your menstrual flowneeding wake change during the nightbleeding longer than weekpassing blood clot large quarterrestricting daily activity due heavy flowsymptoms anemia such tiredness fatigue shortness breathsigns and symptom menorrhagia may include
460,Mental illness,feel sad downconfused think reduce ability concentrateexcessive fear worry extreme feeling guiltextreme mood change high and lowswithdrawal from friend activitiessignificant tiredness low energy problem sleepingdetachment reality delusion paranoia hallucinationsinability cope with daily stresstrouble understand relate situation peopleproblems alcohol drug usemajor eat habitssex drive changesexcessive anger hostility violencesuicidal thinkingsigns symptom mental illness can vary depend the disorder circumstance other factor mental affect emotion thought behavior
461,Meralgia paresthetica,tingle and numbnessburning paindecreased sensationincreased sensitivity pain even light touchmeralgia paresthetica may cause these symptom affect the outer lateral part your thigh
462,Merkel cell carcinoma,excessive exposure natural artificial sunlight be expose ultraviolet light such the light that come from sun tan bed increase your risk merkel cell carcinoma the majority carcinoma appear skin surface frequently sun weaken immune system people with system include those hiv infection take drug suppress response chronic leukemia be more likely develop carcinoma history other cancer merkel carcinoma associate development cancer basal squamous carcinoma old age your you age this cancer most common people old than age though can occur any age light color merkel usually arises who have light color skin white much affected this black the first sign fast grow painless nodule tumor may skin color shade red blue purple most face head neck but they anywhere body even area not sunlight
463,Mesenteric ischemia,sudden severe belly pain urgent need have bowel movement fever nausea and vomit symptom the acute form mesenteric ischemia include
464,Mesenteric lymphadenitis,abdominal pain often center the low right side but pain can more widespreadgeneral abdominal tendernessfevermesenteric lymph node enlargementpossible sign and symptom mesenteric lymphadenitis include
465,Mesothelioma,chest painpainful coughingshortness breathunusual lump tissue under the skin your chestunexplained weight losssigns and symptom mesothelioma vary depend where cancer occurs
466,Metachromatic leukodystrophy,loss the ability detect sensation such touch pain heat and soundloss intellectual think memory skillsloss motor skill walk move speak swallowingstiff rigid muscle poor muscle function paralysisloss bladder bowel functiongallbladder problemsblindnesshearing lossseizuresemotional behavioral problem include unstable emotion substance misusedamage protective myelin cover nerve result progressive worsen brain nervous system function include
467,Microscopic colitis,chronic watery diarrheaabdominal pain cramp bloatingweight lossnauseafecal incontinencedehydrationsigns and symptom microscopic colitis include
468,Migraine,constipation mood change from depression euphoria food craving neck stiffness increase urination fluid retention frequent yawn migraine which affect child and teenager well adult can progress through four stage prodrome aura attack post drome not everyone who have migraine go all stage acidity indigestion headache blur distort vision excessive hunger stiff neck irritability visual disturbance
469,Mild cognitive impairment (MCI),you forget thing more often you miss appointment social event you lose your train thought you can follow the plot book movie you have trouble follow conversation you find hard make decision finish task instruction you start find way around place know well you begin poor judgment your family and friend notice any these change the brain like rest body change with age many people they become forgetful may take longer think word recall person name
470,Miscarriage,vaginal spot bleedingpain cramp your abdomen low backfluid tissue passing from vaginamost miscarriage occur before the th week pregnancy
471,Mitral valve disease,fatigueirregular heart sound heart murmur irregular heartbeatshortness breathsome people with mitral valve disease might not have symptom for many year all
472,Mitral valve regurgitation,sound blood flow across the valve heart murmur irregular heartbeat arrhythmia shortness breath dyspnea especially when lie downsensation rapid pound flutter palpitation swollen foot ankle edema mitral regurgitation often mild and progress slowly some people with mitral might not have symptom for many year
473,Mitral valve stenosis,shortness breath especially with activity when you lie downfatigue during increase activityswollen foot legssensations fast flutter pound heartbeatdizziness faintingirregular heart sound also call murmurfluid buildup the lungsirregular rhythmschest discomfort chest paincoughing bloodmitral valve stenosis usually worsens slowly you may not have any symptom mild one for many year symptom mitral can occur age even childhood
